timestamp,hour,minute,day,month,dayofweek,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_4,lag_96,lag_672,rolling_mean_4,rolling_std_4,price,load_kw
2025-12-19 09:45:00,9,45,19,12,4,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.0,108.57,53.76,39.1,6.164999999999773,9.823052818437596,0.94,0.0
2025-12-19 10:00:00,10,0,19,12,4,0,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,20.62,10.76,54.45,8.612499999999773,14.655932530564971,0.94,30.41
2025-12-19 10:15:00,10,15,19,12,4,0,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,30.41,4.04,0.0,78.82,18.80999999999977,22.503574531033266,0.94,44.83
2025-12-19 10:30:00,10,30,19,12,4,0,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,44.83,0.0,0.0,97.8,30.01749999999977,21.13468456527631,0.94,44.83
2025-12-19 10:45:00,10,45,19,12,4,0,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,44.83,0.0,36.76,160.87,52.73499999999977,26.316420096085388,0.94,90.87
2025-12-19 11:00:00,11,0,19,12,4,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,90.87,30.41,2226.49,1775.98,545.7649999999998,971.41914652396,0.25,2002.53
2025-12-19 11:15:00,11,15,19,12,4,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,2002.53,44.83,2706.8,2314.0,1157.1649999999995,1273.6446027967677,0.25,2490.43
2025-12-19 11:30:00,11,30,19,12,4,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,2490.43,44.83,2382.23,2156.78,1657.9599999999998,1067.6523866877276,0.25,2048.01
2025-12-19 11:45:00,11,45,19,12,4,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,2048.01,90.87,1952.66,1818.63,2106.695,264.78734228307155,0.25,1885.81
2025-12-19 12:00:00,12,0,19,12,4,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1885.81,2002.53,2037.25,1900.21,2152.4625,256.4722242758443,0.25,2185.6
2025-12-19 12:15:00,12,15,19,12,4,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,2185.6,2490.43,2193.85,2217.24,2105.0824999999995,179.04299025187368,0.25,2300.91
2025-12-19 12:30:00,12,30,19,12,4,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,2300.91,2048.01,2234.98,2036.17,2184.1249999999995,212.173320738806,0.25,2364.18
2025-12-19 12:45:00,12,45,19,12,4,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,2364.18,1885.81,2068.53,1684.55,2218.5275,149.61359549964735,0.25,2023.42
2025-12-19 13:00:00,13,0,19,12,4,0,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,2023.42,2185.6,598.86,745.88,1880.41,713.6994982483875,0.94,833.13
2025-12-19 13:15:00,13,15,19,12,4,0,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,833.13,2300.91,194.92,435.72,1408.0874999999996,933.8576907064958,0.94,411.62
2025-12-19 13:30:00,13,30,19,12,4,0,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,411.62,2364.18,37.73,176.17,852.0424999999998,831.3562073453663,0.94,140.0
2025-12-19 13:45:00,13,45,19,12,4,0,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,140.0,2023.42,101.1,106.69,362.6774999999998,347.05785630786033,0.94,65.96
